"SCORE_THRESHOLD","AUDIENCE_SIZE","VERIFIED_PATIENTS","AQ_SCORE","INCREMENTAL_AQ_SCORE","PERCENT_POPULATION","PERCENT_PATIENTS","THRESHOLD_3X","PREVALENCE","MODEL_POWER_INDEX","TRUE_POSITIVE","FALSE_POSITIVE","TRUE_NEGATIVE","FALSE_NEGATIVE"
0.5219000000,22634300,1793600,0.0792430000,0.0792430000,5.0524000000,26.9334000000,0.0445950000,0.0148650000,5.3308442650,1793600.0000000000,20840700.0000000000,420489350.0000000000,4865800.0000000000
0.5218000000,22674200,1795150,0.0791710000,0.0388470000,5.0613000000,26.9566000000,0.0445950000,0.0148650000,5.3260006730,1795150.0000000000,20879050.0000000000,420451000.0000000000,4864250.0000000000
0.5217000000,22714350,1796750,0.0791020000,0.0398510000,5.0703000000,26.9807000000,0.0445950000,0.0148650000,5.3213588970,1796750.0000000000,20917600.0000000000,420412450.0000000000,4862650.0000000000
0.5216000000,22753950,1798350,0.0790350000,0.0404040000,5.0791000000,27.0047000000,0.0445950000,0.0148650000,5.3168516650,1798350.0000000000,20955600.0000000000,420374450.0000000000,4861050.0000000000
0.5215000000,22794250,1799950,0.0789650000,0.0397020000,5.0881000000,27.0287000000,0.0445950000,0.0148650000,5.3121426170,1799950.0000000000,20994300.0000000000,420335750.0000000000,4859450.0000000000
0.5214000000,22834650,1801500,0.0788930000,0.0383660000,5.0971000000,27.0520000000,0.0445950000,0.0148650000,5.3072990250,1801500.0000000000,21033150.0000000000,420296900.0000000000,4857900.0000000000
0.5213000000,22875350,1803100,0.0788230000,0.0393120000,5.1062000000,27.0760000000,0.0445950000,0.0148650000,5.3025899760,1803100.0000000000,21072250.0000000000,420257800.0000000000,4856300.0000000000
0.5212000000,22915850,1804700,0.0787530000,0.0395060000,5.1153000000,27.1000000000,0.0445950000,0.0148650000,5.2978809280,1804700.0000000000,21111150.0000000000,420218900.0000000000,4854700.0000000000
0.5211000000,22956500,1806350,0.0786860000,0.0405900000,5.1243000000,27.1248000000,0.0445950000,0.0148650000,5.2933736970,1806350.0000000000,21150150.0000000000,420179900.0000000000,4853050.0000000000
0.5210000000,22996950,1807950,0.0786170000,0.0395550000,5.1334000000,27.1488000000,0.0445950000,0.0148650000,5.2887319210,1807950.0000000000,21189000.0000000000,420141050.0000000000,4851450.0000000000
