,SEED SIZE,APROX EXPORT SIZE 
50K,"50,000","1,500,000"
60k,"60,000","1,900,000"
70K,"70,000","2,000,000"
80K,"80,000","2,120,000"
90K,"90,000","2,260,000"
100K,"100,000","2,400,000"
,"115,000","2,520,000"
,"130,000","2,640,000"
,"140,000","2,720,000"
,"150,000","2,800,000"
,"160,000","2,880,000"
,"170,000","2,960,000"
,"180,000","3,040,000"
200K,"200,000","3,200,000"
,"210,000","3,360,000"
,"220,000","3,520,000"
,"230,000","3,680,000"
,"240,000","3,840,000"
,"250,000","4,000,000"
,"260,000","4,160,000"
,"270,000","4,320,000"
,"280,000","4,480,000"
,"290,000","4,640,000"
300K,"300,000","4,800,000"
,"310,000","4,960,000"
,"320,000","5,120,000"
,"330,000","5,280,000"
,"340,000","5,440,000"
,"350,000","5,600,000"
,"360,000","5,760,000"
,"370,000","5,920,000"
,"380,000","6,080,000"
,"390,000","6,240,000"
400K,"400,000","6,400,000"
,"410,000","6,560,000"
,"420,000","6,720,000"
,"430,000","6,880,000"
,"440,000","7,040,000"
,"450,000","7,200,000"
,"460,000","7,360,000"
,"470,000","7,520,000"
,"480,000","7,680,000"
,"490,000","7,840,000"
500K,"500,000","8,000,000"
,"510,000","8,160,000"
,"520,000","8,320,000"
,"530,000","8,480,000"
,"540,000","8,640,000"
,"550,000","8,800,000"
,"560,000","8,960,000"
,"570,000","9,120,000"
,"580,000","9,280,000"
,"590,000","9,440,000"
600K,"600,000","9,600,000"
,"610,000","9,760,000"
,"620,000","9,920,000"
,"630,000","10,080,000"
,"640,000","10,240,000"
,"650,000","10,400,000"
,"660,000","10,560,000"
,"670,000","10,720,000"
,"680,000","10,880,000"
,"690,000","11,040,000"
700K,"700,000","11,200,000"
,"710,000","11,360,000"
,"720,000","11,520,000"
,"730,000","11,680,000"
,"740,000","11,840,000"
,"750,000","12,000,000"
,"760,000","12,160,000"
,"770,000","12,320,000"
,"780,000","12,480,000"
,"790,000","12,640,000"
800K,"800,000","12,800,000"
,"810,000","12,960,000"
,"820,000","13,120,000"
,"830,000","13,280,000"
,"840,000","13,440,000"
,"850,000","13,600,000"
,"860,000","13,760,000"
,"870,000","13,920,000"
,"880,000","14,080,000"
,"890,000","14,240,000"
900K,"900,000","14,400,000"
,"910,000","14,560,000"
,"920,000","14,720,000"
,"930,000","14,880,000"
,"940,000","15,040,000"
,"950,000","15,200,000"
,"960,000","15,360,000"
,"970,000","15,520,000"
,"980,000","15,680,000"
,"990,000","15,840,000"
1MM,"1,000,000","16,000,000"
,"1,050,000","16,400,000"
,"1,100,000","16,800,000"
,"1,150,000","17,200,000"
,"1,200,000","17,600,000"
,"1,250,000","18,000,000"
,"1,300,000","18,400,000"
,"1,350,000","18,800,000"
,"1,400,000","19,200,000"
,"1,450,000","19,600,000"
1.5MM ,"1,500,000","20,000,000"
,"1,550,000","20,400,000"
,"1,600,000","20,800,000"
,"1,650,000","21,200,000"
,"1,700,000","21,600,000"
,"1,750,000","22,000,000"
,"1,800,000","22,400,000"
,"1,850,000","22,800,000"
,"1,900,000","23,200,000"
,"1,950,000","23,600,000"
2MM,"2,000,000","24,000,000"
,"2,050,000","24,400,000"
,"2,100,000","24,800,000"
,"2,150,000","25,200,000"
,"2,200,000","25,600,000"
,"2,250,000","26,000,000"
,"2,300,000","26,400,000"
,"2,350,000","26,800,000"
,"2,400,000","27,200,000"
,"2,450,000","27,600,000"
,"2,500,000","28,000,000"
,"2,550,000","28,400,000"
,"2,600,000","28,800,000"
,"2,650,000","29,200,000"
,"2,700,000","29,600,000"
,"2,750,000","30,000,000"
,"2,800,000","30,400,000"
,"2,850,000","30,800,000"
,"2,900,000","31,200,000"
,"2,950,000","31,600,000"
3MM,"3,000,000","32,000,000"
,"3,050,000","32,400,000"
,"3,100,000","32,800,000"
,"3,150,000","33,200,000"
,"3,200,000","33,600,000"
,"3,250,000","34,000,000"
,"3,300,000","34,400,000"
,"3,350,000","34,800,000"
