SEED SIZE,AUDIENCE SIZE APROX
"25,000","1,350,000"
"26,000","1,364,000"
"27,000","1,378,000"
"28,000","1,392,000"
"29,000","1,406,000"
"30,000","1,420,000"
"31,000","1,434,000"
"32,000","1,448,000"
"33,000","1,462,000"
"34,000","1,476,000"
"35,000","1,490,000"
"36,000","1,504,000"
"37,000","1,518,000"
"38,000","1,532,000"
"39,000","1,546,000"
"40,000","1,560,000"
"41,000","1,574,000"
"42,000","1,588,000"
"43,000","1,602,000"
"44,000","1,616,000"
"45,000","1,630,000"
"46,000","1,644,000"
"47,000","1,658,000"
"48,000","1,672,000"
"49,000","1,686,000"
"50,000","1,700,000"
"51,000","1,714,000"
"52,000","1,728,000"
"53,000","1,742,000"
"54,000","1,756,000"
"55,000","1,770,000"
"56,000","1,784,000"
"57,000","1,798,000"
"58,000","1,812,000"
"59,000","1,826,000"
"60,000","1,840,000"
"61,000","1,854,000"
"62,000","1,868,000"
"63,000","1,882,000"
"64,000","1,896,000"
"65,000","1,910,000"
"66,000","1,924,000"
"67,000","1,938,000"
"68,000","1,952,000"
"69,000","1,966,000"
"70,000","1,980,000"
"71,000","1,994,000"
"72,000","2,008,000"
"73,000","2,022,000"
"74,000","2,036,000"
"75,000","2,050,000"
"76,000","2,064,000"
"77,000","2,078,000"
"78,000","2,092,000"
"79,000","2,106,000"
"80,000","2,120,000"
"81,000","2,134,000"
"82,000","2,148,000"
"83,000","2,162,000"
"84,000","2,176,000"
"85,000","2,190,000"
"86,000","2,204,000"
"87,000","2,218,000"
"88,000","2,232,000"
"89,000","2,246,000"
"90,000","2,260,000"
"91,000","2,274,000"
"92,000","2,288,000"
"93,000","2,302,000"
"94,000","2,316,000"
"95,000","2,330,000"
"96,000","2,344,000"
"97,000","2,358,000"
"98,000","2,372,000"
"99,000","2,386,000"
"100,000","2,400,000"
"101,000","2,408,000"
"102,000","2,416,000"
"103,000","2,424,000"
"104,000","2,432,000"
"105,000","2,440,000"
"106,000","2,448,000"
"107,000","2,456,000"
"108,000","2,464,000"
"109,000","2,472,000"
"110,000","2,480,000"
"111,000","2,488,000"
"112,000","2,496,000"
"113,000","2,504,000"
"114,000","2,512,000"
"115,000","2,520,000"
"116,000","2,528,000"
"117,000","2,536,000"
"118,000","2,544,000"
"119,000","2,552,000"
"120,000","2,560,000"
"121,000","2,568,000"
"122,000","2,576,000"
"123,000","2,584,000"
"124,000","2,592,000"
"125,000","2,600,000"
"126,000","2,608,000"
"127,000","2,616,000"
"128,000","2,624,000"
"129,000","2,632,000"
"130,000","2,640,000"
"131,000","2,648,000"
"132,000","2,656,000"
"133,000","2,664,000"
"134,000","2,672,000"
"135,000","2,680,000"
"136,000","2,688,000"
"137,000","2,696,000"
"138,000","2,704,000"
"139,000","2,712,000"
"140,000","2,720,000"
"141,000","2,728,000"
"142,000","2,736,000"
"143,000","2,744,000"
"144,000","2,752,000"
"145,000","2,760,000"
"146,000","2,768,000"
"147,000","2,776,000"
"148,000","2,784,000"
"149,000","2,792,000"
"150,000","2,800,000"
"151,000","2,808,000"
