SCORE_THRESHOLD,AUDIENCE_SIZE,VERIFIED_PATIENTS,AQ_SCORE,INCREMENTAL_AQ_SCORE,PERCENT_POPULATION,PERCENT_PATIENTS,THRESHOLD_3X,PREVALENCE,MODEL_POWER_INDEX,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
0.1050000000,1058900,140800,0.1329680000,0.1329680000,0.2364000000,77.1507000000,0.0012220000,0.0004070000,326.7027027030,140800.0000000000,918100.0000000000,446888850.0000000000,41700.0000000000
0.1049000000,1062300,140850,0.1325900000,0.0147060000,0.2371000000,77.1781000000,0.0012220000,0.0004070000,325.7739557740,140850.0000000000,921450.0000000000,446885500.0000000000,41650.0000000000
0.1048000000,1065400,140900,0.1322510000,0.0161290000,0.2378000000,77.2055000000,0.0012220000,0.0004070000,324.9410319410,140900.0000000000,924500.0000000000,446882450.0000000000,41600.0000000000
0.1047000000,1068800,140950,0.1318770000,0.0147060000,0.2386000000,77.2329000000,0.0012220000,0.0004070000,324.0221130220,140950.0000000000,927850.0000000000,446879100.0000000000,41550.0000000000
0.1046000000,1072150,141000,0.1315110000,0.0149250000,0.2393000000,77.2603000000,0.0012220000,0.0004070000,323.1228501230,141000.0000000000,931150.0000000000,446875800.0000000000,41500.0000000000
0.1045000000,1075450,141000,0.1311080000,0.0000000000,0.2401000000,77.2603000000,0.0012220000,0.0004070000,322.1326781330,141000.0000000000,934450.0000000000,446872500.0000000000,41500.0000000000
0.1044000000,1078800,141050,0.1307470000,0.0149250000,0.2408000000,77.2877000000,0.0012220000,0.0004070000,321.2457002460,141050.0000000000,937750.0000000000,446869200.0000000000,41450.0000000000
0.1043000000,1082100,141100,0.1303950000,0.0151520000,0.2415000000,77.3151000000,0.0012220000,0.0004070000,320.3808353810,141100.0000000000,941000.0000000000,446865950.0000000000,41400.0000000000
0.1042000000,1085500,141150,0.1300320000,0.0147060000,0.2423000000,77.3425000000,0.0012220000,0.0004070000,319.4889434890,141150.0000000000,944350.0000000000,446862600.0000000000,41350.0000000000
0.1041000000,1089000,141150,0.1296140000,0.0000000000,0.2431000000,77.3425000000,0.0012220000,0.0004070000,318.4619164620,141150.0000000000,947850.0000000000,446859100.0000000000,41350.0000000000
0.1040000000,1092400,141200,0.1292570000,0.0147060000,0.2438000000,77.3699000000,0.0012220000,0.0004070000,317.5847665850,141200.0000000000,951200.0000000000,446855750.0000000000,41300.0000000000
0.1039000000,1095800,141250,0.1289010000,0.0147060000,0.2446000000,77.3973000000,0.0012220000,0.0004070000,316.7100737100,141250.0000000000,954550.0000000000,446852400.0000000000,41250.0000000000
0.1038000000,1099300,141300,0.1285360000,0.0142860000,0.2454000000,77.4247000000,0.0012220000,0.0004070000,315.8132678130,141300.0000000000,958000.0000000000,446848950.0000000000,41200.0000000000
0.1037000000,1102700,141300,0.1281400000,0.0000000000,0.2461000000,77.4247000000,0.0012220000,0.0004070000,314.8402948400,141300.0000000000,961400.0000000000,446845550.0000000000,41200.0000000000
0.1036000000,1106100,141350,0.1277910000,0.0147060000,0.2469000000,77.4521000000,0.0012220000,0.0004070000,313.9828009830,141350.0000000000,964750.0000000000,446842200.0000000000,41150.0000000000
