"SCORE_THRESHOLD","AUDIENCE_SIZE","VERIFIED_PATIENTS","AQ_SCORE","INCREMENTAL_AQ_SCORE","PERCENT_POPULATION","PERCENT_PATIENTS","THRESHOLD_3X","PREVALENCE","MODEL_POWER_INDEX","TRUE_POSITIVE","FALSE_POSITIVE","TRUE_NEGATIVE","FALSE_NEGATIVE"
0.5962000000,22462850,1853700,0.0825230000,0.0825230000,5.0141000000,25.8693000000,0.0479850000,0.0159950000,5.1592997810,1853700.0000000000,20609150.0000000000,420214650.0000000000,5311950.0000000000
0.5961000000,22490250,1855150,0.0824870000,0.0529200000,5.0203000000,25.8895000000,0.0479850000,0.0159950000,5.1570490780,1855150.0000000000,20635100.0000000000,420188700.0000000000,5310500.0000000000
0.5960000000,22517750,1856600,0.0824510000,0.0527270000,5.0264000000,25.9097000000,0.0479850000,0.0159950000,5.1547983740,1856600.0000000000,20661150.0000000000,420162650.0000000000,5309050.0000000000
0.5959000000,22544750,1858050,0.0824160000,0.0537040000,5.0324000000,25.9300000000,0.0479850000,0.0159950000,5.1526101910,1858050.0000000000,20686700.0000000000,420137100.0000000000,5307600.0000000000
0.5958000000,22571750,1859450,0.0823800000,0.0518520000,5.0385000000,25.9495000000,0.0479850000,0.0159950000,5.1503594870,1859450.0000000000,20712300.0000000000,420111500.0000000000,5306200.0000000000
0.5957000000,22599050,1860950,0.0823460000,0.0549450000,5.0445000000,25.9704000000,0.0479850000,0.0159950000,5.1482338230,1860950.0000000000,20738100.0000000000,420085700.0000000000,5304700.0000000000
0.5956000000,22625850,1862350,0.0823110000,0.0522390000,5.0505000000,25.9900000000,0.0479850000,0.0159950000,5.1460456390,1862350.0000000000,20763500.0000000000,420060300.0000000000,5303300.0000000000
0.5955000000,22652700,1863750,0.0822750000,0.0521420000,5.0565000000,26.0095000000,0.0479850000,0.0159950000,5.1437949360,1863750.0000000000,20788950.0000000000,420034850.0000000000,5301900.0000000000
0.5954000000,22679900,1865200,0.0822400000,0.0533090000,5.0626000000,26.0297000000,0.0479850000,0.0159950000,5.1416067520,1865200.0000000000,20814700.0000000000,420009100.0000000000,5300450.0000000000
0.5953000000,22707550,1866650,0.0822040000,0.0524410000,5.0688000000,26.0500000000,0.0479850000,0.0159950000,5.1393560490,1866650.0000000000,20840900.0000000000,419982900.0000000000,5299000.0000000000
0.5952000000,22735200,1868200,0.0821720000,0.0560580000,5.0749000000,26.0716000000,0.0479850000,0.0159950000,5.1373554240,1868200.0000000000,20867000.0000000000,419956800.0000000000,5297450.0000000000
0.5951000000,22762600,1869600,0.0821350000,0.0510950000,5.0811000000,26.0911000000,0.0479850000,0.0159950000,5.1350422010,1869600.0000000000,20893000.0000000000,419930800.0000000000,5296050.0000000000
0.5950000000,22789850,1871050,0.0821000000,0.0532110000,5.0871000000,26.1114000000,0.0479850000,0.0159950000,5.1328540170,1871050.0000000000,20918800.0000000000,419905000.0000000000,5294600.0000000000
0.5949000000,22817250,1872500,0.0820650000,0.0529200000,5.0933000000,26.1316000000,0.0479850000,0.0159950000,5.1306658330,1872500.0000000000,20944750.0000000000,419879050.0000000000,5293150.0000000000
0.5948000000,22844500,1873950,0.0820310000,0.0532110000,5.0993000000,26.1518000000,0.0479850000,0.0159950000,5.1285401690,1873950.0000000000,20970550.0000000000,419853250.0000000000,5291700.0000000000
0.5947000000,22872100,1875400,0.0819950000,0.0525360000,5.1055000000,26.1721000000,0.0479850000,0.0159950000,5.1262894650,1875400.0000000000,20996700.0000000000,419827100.0000000000,5290250.0000000000
0.5946000000,22900050,1876850,0.0819580000,0.0518780000,5.1117000000,26.1923000000,0.0479850000,0.0159950000,5.1239762430,1876850.0000000000,21023200.0000000000,419800600.0000000000,5288800.0000000000
0.5945000000,22927000,1878250,0.0819230000,0.0519480000,5.1178000000,26.2119000000,0.0479850000,0.0159950000,5.1217880590,1878250.0000000000,21048750.0000000000,419775050.0000000000,5287400.0000000000
0.5944000000,22954700,1879700,0.0818870000,0.0523470000,5.1239000000,26.2321000000,0.0479850000,0.0159950000,5.1195373550,1879700.0000000000,21075000.0000000000,419748800.0000000000,5285950.0000000000
0.5943000000,22981900,1881100,0.0818510000,0.0514710000,5.1300000000,26.2516000000,0.0479850000,0.0159950000,5.1172866520,1881100.0000000000,21100800.0000000000,419723000.0000000000,5284550.0000000000
0.5942000000,23009150,1882500,0.0818150000,0.0513760000,5.1361000000,26.2712000000,0.0479850000,0.0159950000,5.1150359490,1882500.0000000000,21126650.0000000000,419697150.0000000000,5283150.0000000000
0.5941000000,23036600,1883950,0.0817810000,0.0528230000,5.1422000000,26.2914000000,0.0479850000,0.0159950000,5.1129102840,1883950.0000000000,21152650.0000000000,419671150.0000000000,5281700.0000000000
0.5940000000,23063850,1885350,0.0817450000,0.0513760000,5.1483000000,26.3109000000,0.0479850000,0.0159950000,5.1106595810,1885350.0000000000,21178500.0000000000,419645300.0000000000,5280300.0000000000
0.5939000000,23091450,1886750,0.0817080000,0.0507250000,5.1545000000,26.3305000000,0.0479850000,0.0159950000,5.1083463580,1886750.0000000000,21204700.0000000000,419619100.0000000000,5278900.0000000000
0.5938000000,23118950,1888150,0.0816710000,0.0509090000,5.1606000000,26.3500000000,0.0479850000,0.0159950000,5.1060331350,1888150.0000000000,21230800.0000000000,419593000.0000000000,5277500.0000000000
0.5937000000,23146600,1889550,0.0816340000,0.0506330000,5.1668000000,26.3696000000,0.0479850000,0.0159950000,5.1037199120,1889550.0000000000,21257050.0000000000,419566750.0000000000,5276100.0000000000
0.5936000000,23174250,1891000,0.0815990000,0.0524410000,5.1729000000,26.3898000000,0.0479850000,0.0159950000,5.1015317290,1891000.0000000000,21283250.0000000000,419540550.0000000000,5274650.0000000000
0.5935000000,23201900,1892450,0.0815640000,0.0524410000,5.1791000000,26.4100000000,0.0479850000,0.0159950000,5.0993435450,1892450.0000000000,21309450.0000000000,419514350.0000000000,5273200.0000000000
0.5934000000,23229800,1893850,0.0815270000,0.0501790000,5.1853000000,26.4296000000,0.0479850000,0.0159950000,5.0970303220,1893850.0000000000,21335950.0000000000,419487850.0000000000,5271800.0000000000
0.5933000000,23257300,1895350,0.0814950000,0.0545450000,5.1915000000,26.4505000000,0.0479850000,0.0159950000,5.0950296970,1895350.0000000000,21361950.0000000000,419461850.0000000000,5270300.0000000000
0.5932000000,23284200,1896800,0.0814630000,0.0539030000,5.1975000000,26.4707000000,0.0479850000,0.0159950000,5.0930290720,1896800.0000000000,21387400.0000000000,419436400.0000000000,5268850.0000000000
0.5931000000,23311650,1898200,0.0814270000,0.0510020000,5.2036000000,26.4903000000,0.0479850000,0.0159950000,5.0907783680,1898200.0000000000,21413450.0000000000,419410350.0000000000,5267450.0000000000
0.5930000000,23339200,1899700,0.0813950000,0.0544460000,5.2098000000,26.5112000000,0.0479850000,0.0159950000,5.0887777430,1899700.0000000000,21439500.0000000000,419384300.0000000000,5265950.0000000000
0.5929000000,23366650,1901100,0.0813600000,0.0510020000,5.2159000000,26.5307000000,0.0479850000,0.0159950000,5.0865895590,1901100.0000000000,21465550.0000000000,419358250.0000000000,5264550.0000000000
0.5928000000,23394400,1902600,0.0813270000,0.0540540000,5.2221000000,26.5517000000,0.0479850000,0.0159950000,5.0845264150,1902600.0000000000,21491800.0000000000,419332000.0000000000,5263050.0000000000
0.5927000000,23422850,1904050,0.0812900000,0.0509670000,5.2284000000,26.5719000000,0.0479850000,0.0159950000,5.0822131920,1904050.0000000000,21518800.0000000000,419305000.0000000000,5261600.0000000000
0.5926000000,23450900,1905500,0.0812550000,0.0516930000,5.2347000000,26.5921000000,0.0479850000,0.0159950000,5.0800250080,1905500.0000000000,21545400.0000000000,419278400.0000000000,5260150.0000000000
0.5925000000,23478400,1906950,0.0812210000,0.0527270000,5.2408000000,26.6124000000,0.0479850000,0.0159950000,5.0778993440,1906950.0000000000,21571450.0000000000,419252350.0000000000,5258700.0000000000
0.5924000000,23506600,1908400,0.0811860000,0.0514180000,5.2471000000,26.6326000000,0.0479850000,0.0159950000,5.0757111600,1908400.0000000000,21598200.0000000000,419225600.0000000000,5257250.0000000000
0.5923000000,23534500,1909800,0.0811490000,0.0501790000,5.2534000000,26.6522000000,0.0479850000,0.0159950000,5.0733979370,1909800.0000000000,21624700.0000000000,419199100.0000000000,5255850.0000000000
0.5922000000,23562600,1911250,0.0811140000,0.0516010000,5.2596000000,26.6724000000,0.0479850000,0.0159950000,5.0712097530,1911250.0000000000,21651350.0000000000,419172450.0000000000,5254400.0000000000
0.5921000000,23590550,1912700,0.0810790000,0.0518780000,5.2659000000,26.6926000000,0.0479850000,0.0159950000,5.0690215690,1912700.0000000000,21677850.0000000000,419145950.0000000000,5252950.0000000000
0.5920000000,23618300,1914150,0.0810450000,0.0522520000,5.2721000000,26.7129000000,0.0479850000,0.0159950000,5.0668959050,1914150.0000000000,21704150.0000000000,419119650.0000000000,5251500.0000000000
0.5919000000,23646400,1915550,0.0810080000,0.0498220000,5.2783000000,26.7324000000,0.0479850000,0.0159950000,5.0645826820,1915550.0000000000,21730850.0000000000,419092950.0000000000,5250100.0000000000
0.5918000000,23674300,1917000,0.0809740000,0.0519710000,5.2846000000,26.7526000000,0.0479850000,0.0159950000,5.0624570180,1917000.0000000000,21757300.0000000000,419066500.0000000000,5248650.0000000000
0.5917000000,23702550,1918500,0.0809410000,0.0530970000,5.2909000000,26.7736000000,0.0479850000,0.0159950000,5.0603938730,1918500.0000000000,21784050.0000000000,419039750.0000000000,5247150.0000000000
0.5916000000,23730650,1919950,0.0809060000,0.0516010000,5.2971000000,26.7938000000,0.0479850000,0.0159950000,5.0582056890,1919950.0000000000,21810700.0000000000,419013100.0000000000,5245700.0000000000
0.5915000000,23758600,1921400,0.0808720000,0.0518780000,5.3034000000,26.8140000000,0.0479850000,0.0159950000,5.0560800250,1921400.0000000000,21837200.0000000000,418986600.0000000000,5244250.0000000000
0.5914000000,23787000,1922850,0.0808360000,0.0510560000,5.3097000000,26.8343000000,0.0479850000,0.0159950000,5.0538293220,1922850.0000000000,21864150.0000000000,418959650.0000000000,5242800.0000000000
0.5913000000,23815500,1924300,0.0808000000,0.0508770000,5.3161000000,26.8545000000,0.0479850000,0.0159950000,5.0515786180,1924300.0000000000,21891200.0000000000,418932600.0000000000,5241350.0000000000
0.5912000000,23844250,1925800,0.0807660000,0.0521740000,5.3225000000,26.8754000000,0.0479850000,0.0159950000,5.0494529540,1925800.0000000000,21918450.0000000000,418905350.0000000000,5239850.0000000000
0.5911000000,23872400,1927300,0.0807330000,0.0532860000,5.3288000000,26.8964000000,0.0479850000,0.0159950000,5.0473898090,1927300.0000000000,21945100.0000000000,418878700.0000000000,5238350.0000000000
0.5910000000,23900800,1928750,0.0806980000,0.0510560000,5.3351000000,26.9166000000,0.0479850000,0.0159950000,5.0452016260,1928750.0000000000,21972050.0000000000,418851750.0000000000,5236900.0000000000
0.5909000000,23929250,1930150,0.0806610000,0.0492090000,5.3415000000,26.9361000000,0.0479850000,0.0159950000,5.0428884030,1930150.0000000000,21999100.0000000000,418824700.0000000000,5235500.0000000000
0.5908000000,23957500,1931650,0.0806280000,0.0530970000,5.3478000000,26.9571000000,0.0479850000,0.0159950000,5.0408252580,1931650.0000000000,22025850.0000000000,418797950.0000000000,5234000.0000000000
0.5907000000,23985600,1933100,0.0805940000,0.0516010000,5.3541000000,26.9773000000,0.0479850000,0.0159950000,5.0386995940,1933100.0000000000,22052500.0000000000,418771300.0000000000,5232550.0000000000
0.5906000000,24013750,1934600,0.0805620000,0.0532860000,5.3603000000,26.9982000000,0.0479850000,0.0159950000,5.0366989680,1934600.0000000000,22079150.0000000000,418744650.0000000000,5231050.0000000000
0.5905000000,24042250,1935950,0.0805230000,0.0473680000,5.3667000000,27.0171000000,0.0479850000,0.0159950000,5.0342607060,1935950.0000000000,22106300.0000000000,418717500.0000000000,5229700.0000000000
0.5904000000,24070550,1937350,0.0804860000,0.0494700000,5.3730000000,27.0366000000,0.0479850000,0.0159950000,5.0319474840,1937350.0000000000,22133200.0000000000,418690600.0000000000,5228300.0000000000
0.5903000000,24099000,1938800,0.0804510000,0.0509670000,5.3794000000,27.0569000000,0.0479850000,0.0159950000,5.0297593000,1938800.0000000000,22160200.0000000000,418663600.0000000000,5226850.0000000000
0.5902000000,24127600,1940300,0.0804180000,0.0524480000,5.3858000000,27.0778000000,0.0479850000,0.0159950000,5.0276961550,1940300.0000000000,22187300.0000000000,418636500.0000000000,5225350.0000000000
0.5901000000,24156300,1941800,0.0803850000,0.0522650000,5.3922000000,27.0987000000,0.0479850000,0.0159950000,5.0256330100,1941800.0000000000,22214500.0000000000,418609300.0000000000,5223850.0000000000
0.5900000000,24184750,1943150,0.0803460000,0.0474520000,5.3985000000,27.1176000000,0.0479850000,0.0159950000,5.0231947480,1943150.0000000000,22241600.0000000000,418582200.0000000000,5222500.0000000000
0.5899000000,24213450,1944650,0.0803130000,0.0522650000,5.4049000000,27.1385000000,0.0479850000,0.0159950000,5.0211316040,1944650.0000000000,22268800.0000000000,418555000.0000000000,5221000.0000000000
0.5898000000,24242100,1946050,0.0802760000,0.0488660000,5.4113000000,27.1580000000,0.0479850000,0.0159950000,5.0188183810,1946050.0000000000,22296050.0000000000,418527750.0000000000,5219600.0000000000
0.5897000000,24270500,1947500,0.0802410000,0.0510560000,5.4176000000,27.1783000000,0.0479850000,0.0159950000,5.0166301970,1947500.0000000000,22323000.0000000000,418500800.0000000000,5218150.0000000000
0.5896000000,24299050,1949000,0.0802090000,0.0525390000,5.4240000000,27.1992000000,0.0479850000,0.0159950000,5.0146295720,1949000.0000000000,22350050.0000000000,418473750.0000000000,5216650.0000000000
0.5895000000,24327600,1950450,0.0801740000,0.0507880000,5.4304000000,27.2194000000,0.0479850000,0.0159950000,5.0124413880,1950450.0000000000,22377150.0000000000,418446650.0000000000,5215200.0000000000
0.5894000000,24356550,1951900,0.0801390000,0.0500860000,5.4369000000,27.2397000000,0.0479850000,0.0159950000,5.0102532040,1951900.0000000000,22404650.0000000000,418419150.0000000000,5213750.0000000000
0.5893000000,24385150,1953450,0.0801080000,0.0541960000,5.4432000000,27.2613000000,0.0479850000,0.0159950000,5.0083150980,1953450.0000000000,22431700.0000000000,418392100.0000000000,5212200.0000000000
