"SCORE_THRESHOLD","AUDIENCE_SIZE","VERIFIED_PATIENTS","AQ_SCORE","INCREMENTAL_AQ_SCORE","PERCENT_POPULATION","PERCENT_PATIENTS","THRESHOLD_3X","PREVALENCE","MODEL_POWER_INDEX","TRUE_POSITIVE","FALSE_POSITIVE","TRUE_NEGATIVE","FALSE_NEGATIVE"
0.6826000000,22549200,1779650,0.0789230000,0.0789230000,5.0334000000,30.0637000000,0.0396410000,0.0132140000,5.9726804900,1779650.0000000000,20769550.0000000000,421300300.0000000000,4139950.0000000000
0.6825000000,22575300,1781000,0.0788920000,0.0517240000,5.0392000000,30.0865000000,0.0396410000,0.0132140000,5.9703344940,1781000.0000000000,20794300.0000000000,421275550.0000000000,4138600.0000000000
0.6824000000,22601300,1782300,0.0788580000,0.0500000000,5.0451000000,30.1085000000,0.0396410000,0.0132140000,5.9677614650,1782300.0000000000,20819000.0000000000,421250850.0000000000,4137300.0000000000
0.6823000000,22627500,1783650,0.0788270000,0.0515270000,5.0509000000,30.1313000000,0.0396410000,0.0132140000,5.9654154680,1783650.0000000000,20843850.0000000000,421226000.0000000000,4135950.0000000000
0.6822000000,22653700,1784850,0.0787880000,0.0458020000,5.0567000000,30.1515000000,0.0396410000,0.0132140000,5.9624640530,1784850.0000000000,20868850.0000000000,421201000.0000000000,4134750.0000000000
0.6821000000,22679650,1786150,0.0787560000,0.0500960000,5.0625000000,30.1735000000,0.0396410000,0.0132140000,5.9600423790,1786150.0000000000,20893500.0000000000,421176350.0000000000,4133450.0000000000
0.6820000000,22705250,1787350,0.0787200000,0.0468750000,5.0683000000,30.1938000000,0.0396410000,0.0132140000,5.9573179960,1787350.0000000000,20917900.0000000000,421151950.0000000000,4132250.0000000000
0.6819000000,22731250,1788650,0.0786870000,0.0500000000,5.0741000000,30.2157000000,0.0396410000,0.0132140000,5.9548206450,1788650.0000000000,20942600.0000000000,421127250.0000000000,4130950.0000000000
0.6818000000,22757600,1790000,0.0786550000,0.0512330000,5.0799000000,30.2385000000,0.0396410000,0.0132140000,5.9523989710,1790000.0000000000,20967600.0000000000,421102250.0000000000,4129600.0000000000
0.6817000000,22783650,1791300,0.0786220000,0.0499040000,5.0858000000,30.2605000000,0.0396410000,0.0132140000,5.9499016190,1791300.0000000000,20992350.0000000000,421077500.0000000000,4128300.0000000000
0.6816000000,22809950,1792650,0.0785910000,0.0513310000,5.0916000000,30.2833000000,0.0396410000,0.0132140000,5.9475556230,1792650.0000000000,21017300.0000000000,421052550.0000000000,4126950.0000000000
0.6815000000,22836250,1794000,0.0785590000,0.0513310000,5.0975000000,30.3061000000,0.0396410000,0.0132140000,5.9451339490,1794000.0000000000,21042250.0000000000,421027600.0000000000,4125600.0000000000
0.6814000000,22862300,1795350,0.0785290000,0.0518230000,5.1033000000,30.3289000000,0.0396410000,0.0132140000,5.9428636290,1795350.0000000000,21066950.0000000000,421002900.0000000000,4124250.0000000000
0.6813000000,22888450,1796700,0.0784980000,0.0516250000,5.1091000000,30.3517000000,0.0396410000,0.0132140000,5.9405176330,1796700.0000000000,21091750.0000000000,420978100.0000000000,4122900.0000000000
0.6812000000,22914600,1797950,0.0784630000,0.0478010000,5.1150000000,30.3728000000,0.0396410000,0.0132140000,5.9378689270,1797950.0000000000,21116650.0000000000,420953200.0000000000,4121650.0000000000
0.6811000000,22941050,1799250,0.0784290000,0.0491490000,5.1209000000,30.3948000000,0.0396410000,0.0132140000,5.9352958980,1799250.0000000000,21141800.0000000000,420928050.0000000000,4120350.0000000000
0.6810000000,22967050,1800550,0.0783970000,0.0500000000,5.1267000000,30.4168000000,0.0396410000,0.0132140000,5.9328742240,1800550.0000000000,21166500.0000000000,420903350.0000000000,4119050.0000000000
0.6809000000,22993450,1801850,0.0783640000,0.0492420000,5.1326000000,30.4387000000,0.0396410000,0.0132140000,5.9303768730,1801850.0000000000,21191600.0000000000,420878250.0000000000,4117750.0000000000
0.6808000000,23019800,1803150,0.0783300000,0.0493360000,5.1385000000,30.4607000000,0.0396410000,0.0132140000,5.9278038440,1803150.0000000000,21216650.0000000000,420853200.0000000000,4116450.0000000000
0.6807000000,23046000,1804400,0.0782960000,0.0477100000,5.1443000000,30.4818000000,0.0396410000,0.0132140000,5.9252308160,1804400.0000000000,21241600.0000000000,420828250.0000000000,4115200.0000000000
0.6806000000,23072300,1805700,0.0782630000,0.0494300000,5.1502000000,30.5038000000,0.0396410000,0.0132140000,5.9227334650,1805700.0000000000,21266600.0000000000,420803250.0000000000,4113900.0000000000
0.6805000000,23098600,1807000,0.0782300000,0.0494300000,5.1561000000,30.5257000000,0.0396410000,0.0132140000,5.9202361130,1807000.0000000000,21291600.0000000000,420778250.0000000000,4112600.0000000000
0.6804000000,23125050,1808400,0.0782010000,0.0529300000,5.1620000000,30.5494000000,0.0396410000,0.0132140000,5.9180414710,1808400.0000000000,21316650.0000000000,420753200.0000000000,4111200.0000000000
0.6803000000,23151150,1809750,0.0781710000,0.0517240000,5.1678000000,30.5722000000,0.0396410000,0.0132140000,5.9157711520,1809750.0000000000,21341400.0000000000,420728450.0000000000,4109850.0000000000
0.6802000000,23177700,1811050,0.0781380000,0.0489640000,5.1737000000,30.5941000000,0.0396410000,0.0132140000,5.9132738010,1811050.0000000000,21366650.0000000000,420703200.0000000000,4108550.0000000000
0.6801000000,23203800,1812300,0.0781040000,0.0478930000,5.1795000000,30.6152000000,0.0396410000,0.0132140000,5.9107007720,1812300.0000000000,21391500.0000000000,420678350.0000000000,4107300.0000000000
0.6800000000,23230000,1813600,0.0780710000,0.0496180000,5.1854000000,30.6372000000,0.0396410000,0.0132140000,5.9082034210,1813600.0000000000,21416400.0000000000,420653450.0000000000,4106000.0000000000
0.6799000000,23256600,1814950,0.0780400000,0.0507520000,5.1913000000,30.6600000000,0.0396410000,0.0132140000,5.9058574240,1814950.0000000000,21441650.0000000000,420628200.0000000000,4104650.0000000000
0.6798000000,23283400,1816250,0.0780060000,0.0485070000,5.1973000000,30.6820000000,0.0396410000,0.0132140000,5.9032843950,1816250.0000000000,21467150.0000000000,420602700.0000000000,4103350.0000000000
0.6797000000,23310050,1817650,0.0779770000,0.0525330000,5.2033000000,30.7056000000,0.0396410000,0.0132140000,5.9010897530,1817650.0000000000,21492400.0000000000,420577450.0000000000,4101950.0000000000
0.6796000000,23336850,1819000,0.0779450000,0.0503730000,5.2092000000,30.7284000000,0.0396410000,0.0132140000,5.8986680790,1819000.0000000000,21517850.0000000000,420552000.0000000000,4100600.0000000000
0.6795000000,23363000,1820300,0.0779140000,0.0497130000,5.2151000000,30.7504000000,0.0396410000,0.0132140000,5.8963220830,1820300.0000000000,21542700.0000000000,420527150.0000000000,4099300.0000000000
0.6794000000,23389700,1821550,0.0778780000,0.0468160000,5.2210000000,30.7715000000,0.0396410000,0.0132140000,5.8935976990,1821550.0000000000,21568150.0000000000,420501700.0000000000,4098050.0000000000
0.6793000000,23416500,1822900,0.0778470000,0.0503730000,5.2270000000,30.7943000000,0.0396410000,0.0132140000,5.8912517030,1822900.0000000000,21593600.0000000000,420476250.0000000000,4096700.0000000000
0.6792000000,23443250,1824150,0.0778110000,0.0467290000,5.2330000000,30.8154000000,0.0396410000,0.0132140000,5.8885273200,1824150.0000000000,21619100.0000000000,420450750.0000000000,4095450.0000000000
0.6791000000,23469800,1825450,0.0777790000,0.0489640000,5.2389000000,30.8374000000,0.0396410000,0.0132140000,5.8861056460,1825450.0000000000,21644350.0000000000,420425500.0000000000,4094150.0000000000
0.6790000000,23496400,1826800,0.0777480000,0.0507520000,5.2449000000,30.8602000000,0.0396410000,0.0132140000,5.8837596490,1826800.0000000000,21669600.0000000000,420400250.0000000000,4092800.0000000000
0.6789000000,23523350,1828150,0.0777160000,0.0500930000,5.2509000000,30.8830000000,0.0396410000,0.0132140000,5.8813379750,1828150.0000000000,21695200.0000000000,420374650.0000000000,4091450.0000000000
0.6788000000,23550000,1829450,0.0776840000,0.0487800000,5.2568000000,30.9050000000,0.0396410000,0.0132140000,5.8789163010,1829450.0000000000,21720550.0000000000,420349300.0000000000,4090150.0000000000
0.6787000000,23576150,1830800,0.0776550000,0.0516250000,5.2627000000,30.9278000000,0.0396410000,0.0132140000,5.8767216590,1830800.0000000000,21745350.0000000000,420324500.0000000000,4088800.0000000000
0.6786000000,23602600,1832100,0.0776230000,0.0491490000,5.2686000000,30.9497000000,0.0396410000,0.0132140000,5.8742999850,1832100.0000000000,21770500.0000000000,420299350.0000000000,4087500.0000000000
0.6785000000,23629700,1833400,0.0775890000,0.0479700000,5.2746000000,30.9717000000,0.0396410000,0.0132140000,5.8717269560,1833400.0000000000,21796300.0000000000,420273550.0000000000,4086200.0000000000
0.6784000000,23656100,1834750,0.0775590000,0.0511360000,5.2805000000,30.9945000000,0.0396410000,0.0132140000,5.8694566370,1834750.0000000000,21821350.0000000000,420248500.0000000000,4084850.0000000000
0.6783000000,23682900,1836000,0.0775240000,0.0466420000,5.2865000000,31.0156000000,0.0396410000,0.0132140000,5.8668079310,1836000.0000000000,21846900.0000000000,420222950.0000000000,4083600.0000000000
0.6782000000,23709400,1837350,0.0774950000,0.0509430000,5.2924000000,31.0384000000,0.0396410000,0.0132140000,5.8646132890,1837350.0000000000,21872050.0000000000,420197800.0000000000,4082250.0000000000
0.6781000000,23735750,1838700,0.0774650000,0.0512330000,5.2983000000,31.0612000000,0.0396410000,0.0132140000,5.8623429700,1838700.0000000000,21897050.0000000000,420172800.0000000000,4080900.0000000000
0.6780000000,23762750,1840000,0.0774320000,0.0481480000,5.3043000000,31.0832000000,0.0396410000,0.0132140000,5.8598456180,1840000.0000000000,21922750.0000000000,420147100.0000000000,4079600.0000000000
0.6779000000,23789200,1841300,0.0774010000,0.0491490000,5.3102000000,31.1051000000,0.0396410000,0.0132140000,5.8574996220,1841300.0000000000,21947900.0000000000,420121950.0000000000,4078300.0000000000
0.6778000000,23816000,1842600,0.0773680000,0.0485070000,5.3162000000,31.1271000000,0.0396410000,0.0132140000,5.8550022700,1842600.0000000000,21973400.0000000000,420096450.0000000000,4077000.0000000000
