"SCORE_THRESHOLD","AUDIENCE_SIZE","VERIFIED_PATIENTS","AQ_SCORE","INCREMENTAL_AQ_SCORE","PERCENT_POPULATION","PERCENT_PATIENTS","THRESHOLD_3X","PREVALENCE","MODEL_POWER_INDEX","TRUE_POSITIVE","FALSE_POSITIVE","TRUE_NEGATIVE","FALSE_NEGATIVE"
0.0826000000,452000,66200,0.1464600000,0.1464600000,0.1009000000,86.5925000000,0.0005120000,0.0001710000,856.4912280700,66200.0000000000,385800.0000000000,447527200.0000000000,10250.0000000000
0.0825000000,453500,66250,0.1460860000,0.0333330000,0.1012000000,86.6579000000,0.0005120000,0.0001710000,854.3040935670,66250.0000000000,387250.0000000000,447525750.0000000000,10200.0000000000
0.0824000000,454950,66250,0.1456200000,0.0000000000,0.1016000000,86.6579000000,0.0005120000,0.0001710000,851.5789473680,66250.0000000000,388700.0000000000,447524300.0000000000,10200.0000000000
0.0823000000,456450,66250,0.1451420000,0.0000000000,0.1019000000,86.6579000000,0.0005120000,0.0001710000,848.7836257310,66250.0000000000,390200.0000000000,447522800.0000000000,10200.0000000000
0.0822000000,457950,66250,0.1446660000,0.0000000000,0.1022000000,86.6579000000,0.0005120000,0.0001710000,846.0000000000,66250.0000000000,391700.0000000000,447521300.0000000000,10200.0000000000
0.0821000000,459500,66250,0.1441780000,0.0000000000,0.1026000000,86.6579000000,0.0005120000,0.0001710000,843.1461988300,66250.0000000000,393250.0000000000,447519750.0000000000,10200.0000000000
0.0820000000,461100,66300,0.1437870000,0.0312500000,0.1029000000,86.7233000000,0.0005120000,0.0001710000,840.8596491230,66300.0000000000,394800.0000000000,447518200.0000000000,10150.0000000000
0.0819000000,462650,66300,0.1433050000,0.0000000000,0.1033000000,86.7233000000,0.0005120000,0.0001710000,838.0409356730,66300.0000000000,396350.0000000000,447516650.0000000000,10150.0000000000
0.0818000000,464150,66300,0.1428420000,0.0000000000,0.1036000000,86.7233000000,0.0005120000,0.0001710000,835.3333333330,66300.0000000000,397850.0000000000,447515150.0000000000,10150.0000000000
0.0817000000,465700,66300,0.1423660000,0.0000000000,0.1040000000,86.7233000000,0.0005120000,0.0001710000,832.5497076020,66300.0000000000,399400.0000000000,447513600.0000000000,10150.0000000000
