"SCORE_THRESHOLD","AUDIENCE_SIZE","VERIFIED_PATIENTS","AQ_SCORE","INCREMENTAL_AQ_SCORE","PERCENT_POPULATION","PERCENT_PATIENTS","THRESHOLD_3X","PREVALENCE","MODEL_POWER_INDEX","TRUE_POSITIVE","FALSE_POSITIVE","TRUE_NEGATIVE","FALSE_NEGATIVE"
0.6163000000,22647950,1600050,0.0706490000,0.0706490000,5.0555000000,37.4710000000,0.0285950000,0.0095320000,7.4117708770,1600050.0000000000,21047900.0000000000,422671450.0000000000,2670050.0000000000
0.6162000000,22670850,1601000,0.0706190000,0.0414850000,5.0606000000,37.4933000000,0.0285950000,0.0095320000,7.4086235840,1601000.0000000000,21069850.0000000000,422649500.0000000000,2669100.0000000000
0.6161000000,22694150,1601950,0.0705890000,0.0407730000,5.0658000000,37.5155000000,0.0285950000,0.0095320000,7.4054762900,1601950.0000000000,21092200.0000000000,422627150.0000000000,2668150.0000000000
0.6160000000,22717050,1602900,0.0705590000,0.0414850000,5.0709000000,37.5378000000,0.0285950000,0.0095320000,7.4023289970,1602900.0000000000,21114150.0000000000,422605200.0000000000,2667200.0000000000
0.6159000000,22739950,1603850,0.0705300000,0.0414850000,5.0760000000,37.5600000000,0.0285950000,0.0095320000,7.3992866140,1603850.0000000000,21136100.0000000000,422583250.0000000000,2666250.0000000000
0.6158000000,22762800,1604750,0.0704990000,0.0393870000,5.0811000000,37.5811000000,0.0285950000,0.0095320000,7.3960344100,1604750.0000000000,21158050.0000000000,422561300.0000000000,2665350.0000000000
0.6157000000,22785850,1605600,0.0704650000,0.0368760000,5.0862000000,37.6010000000,0.0285950000,0.0095320000,7.3924674780,1605600.0000000000,21180250.0000000000,422539100.0000000000,2664500.0000000000
0.6156000000,22808950,1606450,0.0704310000,0.0367970000,5.0914000000,37.6209000000,0.0285950000,0.0095320000,7.3889005460,1606450.0000000000,21202500.0000000000,422516850.0000000000,2663650.0000000000
0.6155000000,22832050,1607350,0.0703990000,0.0389610000,5.0966000000,37.6420000000,0.0285950000,0.0095320000,7.3855434330,1607350.0000000000,21224700.0000000000,422494650.0000000000,2662750.0000000000
0.6154000000,22855300,1608200,0.0703640000,0.0365590000,5.1017000000,37.6619000000,0.0285950000,0.0095320000,7.3818715900,1608200.0000000000,21247100.0000000000,422472250.0000000000,2661900.0000000000
0.6153000000,22878150,1609150,0.0703360000,0.0415750000,5.1069000000,37.6841000000,0.0285950000,0.0095320000,7.3789341170,1609150.0000000000,21269000.0000000000,422450350.0000000000,2660950.0000000000
0.6152000000,22901450,1610050,0.0703030000,0.0386270000,5.1121000000,37.7052000000,0.0285950000,0.0095320000,7.3754720940,1610050.0000000000,21291400.0000000000,422427950.0000000000,2660050.0000000000
0.6151000000,22924600,1611000,0.0702740000,0.0410370000,5.1172000000,37.7275000000,0.0285950000,0.0095320000,7.3724297100,1611000.0000000000,21313600.0000000000,422405750.0000000000,2659100.0000000000
0.6150000000,22947650,1611900,0.0702420000,0.0390460000,5.1224000000,37.7485000000,0.0285950000,0.0095320000,7.3690725980,1611900.0000000000,21335750.0000000000,422383600.0000000000,2658200.0000000000
0.6149000000,22970700,1612800,0.0702110000,0.0390460000,5.1275000000,37.7696000000,0.0285950000,0.0095320000,7.3658203940,1612800.0000000000,21357900.0000000000,422361450.0000000000,2657300.0000000000
0.6148000000,22993800,1613700,0.0701800000,0.0389610000,5.1327000000,37.7907000000,0.0285950000,0.0095320000,7.3625681910,1613700.0000000000,21380100.0000000000,422339250.0000000000,2656400.0000000000
0.6147000000,23016650,1614600,0.0701490000,0.0393870000,5.1378000000,37.8118000000,0.0285950000,0.0095320000,7.3593159880,1614600.0000000000,21402050.0000000000,422317300.0000000000,2655500.0000000000
0.6146000000,23039350,1615450,0.0701170000,0.0374450000,5.1428000000,37.8317000000,0.0285950000,0.0095320000,7.3559588750,1615450.0000000000,21423900.0000000000,422295450.0000000000,2654650.0000000000
0.6145000000,23062300,1616350,0.0700860000,0.0392160000,5.1480000000,37.8527000000,0.0285950000,0.0095320000,7.3527066720,1616350.0000000000,21445950.0000000000,422273400.0000000000,2653750.0000000000
0.6144000000,23085100,1617300,0.0700580000,0.0416670000,5.1530000000,37.8750000000,0.0285950000,0.0095320000,7.3497691980,1617300.0000000000,21467800.0000000000,422251550.0000000000,2652800.0000000000
0.6143000000,23108250,1618150,0.0700250000,0.0367170000,5.1582000000,37.8949000000,0.0285950000,0.0095320000,7.3463071760,1618150.0000000000,21490100.0000000000,422229250.0000000000,2651950.0000000000
0.6142000000,23131500,1619100,0.0699950000,0.0408600000,5.1634000000,37.9171000000,0.0285950000,0.0095320000,7.3431598830,1619100.0000000000,21512400.0000000000,422206950.0000000000,2651000.0000000000
0.6141000000,23155000,1620000,0.0699630000,0.0382980000,5.1686000000,37.9382000000,0.0285950000,0.0095320000,7.3398027700,1620000.0000000000,21535000.0000000000,422184350.0000000000,2650100.0000000000
