"SCORE_THRESHOLD","AUDIENCE_SIZE","VERIFIED_PATIENTS","AQ_SCORE","INCREMENTAL_AQ_SCORE","PERCENT_POPULATION","PERCENT_PATIENTS","THRESHOLD_3X","PREVALENCE","MODEL_POWER_INDEX","TRUE_POSITIVE","FALSE_POSITIVE","TRUE_NEGATIVE","FALSE_NEGATIVE"
0.0781000000,778850,98400,0.1263400000,0.1263400000,0.1739000000,73.2961000000,0.0008990000,0.0003000000,421.1333333330,98400.0000000000,680450.0000000000,447174750.0000000000,35850.0000000000
0.0780000000,782400,98450,0.1258310000,0.0140850000,0.1746000000,73.3333000000,0.0008990000,0.0003000000,419.4366666670,98450.0000000000,683950.0000000000,447171250.0000000000,35800.0000000000
0.0779000000,785900,98500,0.1253340000,0.0142860000,0.1754000000,73.3706000000,0.0008990000,0.0003000000,417.7800000000,98500.0000000000,687400.0000000000,447167800.0000000000,35750.0000000000
0.0778000000,789350,98550,0.1248500000,0.0144930000,0.1762000000,73.4078000000,0.0008990000,0.0003000000,416.1666666670,98550.0000000000,690800.0000000000,447164400.0000000000,35700.0000000000
0.0777000000,792850,98600,0.1243610000,0.0142860000,0.1770000000,73.4451000000,0.0008990000,0.0003000000,414.5366666670,98600.0000000000,694250.0000000000,447160950.0000000000,35650.0000000000
0.0776000000,796300,98650,0.1238850000,0.0144930000,0.1777000000,73.4823000000,0.0008990000,0.0003000000,412.9500000000,98650.0000000000,697650.0000000000,447157550.0000000000,35600.0000000000
0.0775000000,799850,98700,0.1233980000,0.0140850000,0.1785000000,73.5196000000,0.0008990000,0.0003000000,411.3266666670,98700.0000000000,701150.0000000000,447154050.0000000000,35550.0000000000
0.0774000000,803350,98750,0.1229230000,0.0142860000,0.1793000000,73.5568000000,0.0008990000,0.0003000000,409.7433333330,98750.0000000000,704600.0000000000,447150600.0000000000,35500.0000000000
0.0773000000,806750,98750,0.1224050000,0.0000000000,0.1801000000,73.5568000000,0.0008990000,0.0003000000,408.0166666670,98750.0000000000,708000.0000000000,447147200.0000000000,35500.0000000000
0.0772000000,810500,98800,0.1219000000,0.0133330000,0.1809000000,73.5940000000,0.0008990000,0.0003000000,406.3333333330,98800.0000000000,711700.0000000000,447143500.0000000000,35450.0000000000
0.0771000000,814150,98850,0.1214150000,0.0136990000,0.1817000000,73.6313000000,0.0008990000,0.0003000000,404.7166666670,98850.0000000000,715300.0000000000,447139900.0000000000,35400.0000000000
0.0770000000,817850,98900,0.1209270000,0.0135140000,0.1826000000,73.6685000000,0.0008990000,0.0003000000,403.0900000000,98900.0000000000,718950.0000000000,447136250.0000000000,35350.0000000000
0.0769000000,821600,98950,0.1204360000,0.0133330000,0.1834000000,73.7058000000,0.0008990000,0.0003000000,401.4533333330,98950.0000000000,722650.0000000000,447132550.0000000000,35300.0000000000
