"threshold","percentile_sum","cumulative_sum"
0.105,1806446,1806446
0.1049,5729,1812175
0.1048,5617,1817792
0.1047,5992,1823784
0.1046,5845,1829629
0.1045,5904,1835533
0.1044,5942,1841475
0.1043,5852,1847327
0.1042,5956,1853283
0.1041,5983,1859266
0.104,6166,1865432
0.1039,6046,1871478
0.1038,6171,1877649
0.1037,6175,1883824
0.1036,6196,1890020
0.1035,6247,1896267
0.1034,6154,1902421
0.1033,6090,1908511
0.1032,6260,1914771
0.1031,6276,1921047
0.103,6282,1927329
0.1029,6217,1933546
0.1028,6436,1939982
0.1027,6294,1946276
0.1026,6394,1952670
0.1025,6466,1959136
0.1024,6534,1965670
0.1023,6852,1972522
0.1022,6805,1979327
0.1021,6602,1985929
0.102,6590,1992519
0.1019,6776,1999295
0.1018,6561,2005856
0.1017,6831,2012687
0.1016,6546,2019233
0.1015,6797,2026030
0.1014,6864,2032894
0.1013,6902,2039796
0.1012,6900,2046696
0.1011,6752,2053448
0.101,6806,2060254
0.1009,6933,2067187
0.1008,6958,2074145
0.1007,6909,2081054
0.1006,7005,2088059
0.1005,7067,2095126
0.1004,6948,2102074
0.1003,7525,2109599
0.1002,7052,2116651
0.1001,7468,2124119
0.1,7204,2131323
0.0999,7221,2138544
0.0998,7263,2145807
0.0997,7335,2153142
0.0996,7285,2160427
0.0995,7342,2167769
0.0994,7204,2174973
0.0993,7424,2182397
0.0992,7495,2189892
0.0991,7254,2197146
0.099,7542,2204688
0.0989,7580,2212268
0.0988,7770,2220038
0.0987,7840,2227878
0.0986,7506,2235384
0.0985,7972,2243356
0.0984,7992,2251348
0.0983,7737,2259085
0.0982,8088,2267173
0.0981,7981,2275154
0.098,7916,2283070
0.0979,8327,2291397
0.0978,8217,2299614
0.0977,8110,2307724
0.0976,8094,2315818
0.0975,8234,2324052
0.0974,8096,2332148
0.0973,8231,2340379
0.0972,8101,2348480
0.0971,8221,2356701
0.097,8368,2365069
0.0969,8358,2373427
0.0968,8746,2382173
0.0967,8422,2390595
0.0966,8700,2399295
0.0965,8469,2407764
0.0964,8284,2416048
0.0963,8525,2424573
0.0962,8848,2433421
0.0961,8806,2442227
0.096,8810,2451037
0.0959,8875,2459912
0.0958,8727,2468639
0.0957,8920,2477559
0.0956,9251,2486810
0.0955,8774,2495584
0.0954,8705,2504289
0.0953,9285,2513574
0.0952,9096,2522670
0.0951,9249,2531919
0.095,9403,2541322
