"threshold","percentile_sum","cumulative_sum"
0.5219,36655121,36655121
0.5218,64278,36719399
0.5217,64088,36783487
0.5216,63404,36846891
0.5215,65518,36912409
0.5214,64652,36977061
0.5213,65396,37042457
0.5212,65229,37107686
0.5211,65348,37173034
0.521,64775,37237809
0.5209,65354,37303163
0.5208,65515,37368678
0.5207,65471,37434149
0.5206,66035,37500184
0.5205,65370,37565554
0.5204,65541,37631095
0.5203,65947,37697042
0.5202,66292,37763334
0.5201,65892,37829226
0.52,65983,37895209
0.5199,65757,37960966
0.5198,66603,38027569
0.5197,66739,38094308
0.5196,66698,38161006
0.5195,66577,38227583
0.5194,65654,38293237
0.5193,67143,38360380
0.5192,67095,38427475
0.5191,66326,38493801
0.519,67291,38561092
0.5189,67334,38628426
0.5188,67088,38695514
0.5187,66576,38762090
0.5186,67522,38829612
0.5185,67628,38897240
0.5184,67967,38965207
0.5183,67858,39033065
0.5182,67244,39100309
0.5181,67902,39168211
0.518,67405,39235616
0.5179,68520,39304136
0.5178,68632,39372768
0.5177,68616,39441384
0.5176,67111,39508495
0.5175,68415,39576910
0.5174,67963,39644873
0.5173,68278,39713151
0.5172,68367,39781518
0.5171,68056,39849574
0.517,69418,39918992
0.5169,69006,39987998
0.5168,69290,40057288
0.5167,69941,40127229
0.5166,68998,40196227
0.5165,70530,40266757
0.5164,69162,40335919
0.5163,69963,40405882
0.5162,70042,40475924
0.5161,70979,40546903
0.516,70424,40617327
0.5159,70460,40687787
0.5158,70484,40758271
0.5157,69508,40827779
0.5156,70921,40898700
0.5155,70360,40969060
0.5154,71458,41040518
0.5153,71270,41111788
0.5152,70926,41182714
0.5151,70441,41253155
0.515,70680,41323835
0.5149,71153,41394988
0.5148,71301,41466289
0.5147,72002,41538291
0.5146,71754,41610045
0.5145,71786,41681831
0.5144,72594,41754425
0.5143,71524,41825949
0.5142,72493,41898442
0.5141,72787,41971229
0.514,72520,42043749
0.5139,71864,42115613
0.5138,72554,42188167
0.5137,72767,42260934
0.5136,72722,42333656
0.5135,72274,42405930
0.5134,71877,42477807
0.5133,73369,42551176
0.5132,72804,42623980
0.5131,73897,42697877
0.513,73749,42771626
0.5129,73099,42844725
0.5128,73063,42917788
0.5127,73371,42991159
0.5126,73742,43064901
0.5125,73476,43138377
0.5124,73372,43211749
0.5123,72576,43284325
0.5122,74337,43358662
0.5121,74429,43433091
0.512,74373,43507464
0.5119,74757,43582221
0.5118,74575,43656796
0.5117,75195,43731991
0.5116,74502,43806493
0.5115,74648,43881141
0.5114,74781,43955922
0.5113,75327,44031249
0.5112,74780,44106029
0.5111,74236,44180265
0.511,75140,44255405
0.5109,75354,44330759
0.5108,75521,44406280
0.5107,75809,44482089
0.5106,75376,44557465
0.5105,75691,44633156
0.5104,75733,44708889
0.5103,75377,44784266
0.5102,75714,44859980
0.5101,76610,44936590
0.51,76741,45013331
0.5099,76360,45089691
0.5098,76676,45166367
0.5097,75729,45242096
0.5096,76600,45318696
0.5095,76748,45395444
0.5094,77454,45472898
0.5093,76643,45549541
0.5092,77274,45626815
0.5091,76587,45703402
0.509,77822,45781224
0.5089,77129,45858353
0.5088,76605,45934958
0.5087,77686,46012644
0.5086,78596,46091240
0.5085,78794,46170034
0.5084,78441,46248475
0.5083,78220,46326695
0.5082,79157,46405852
0.5081,78150,46484002
0.508,78017,46562019
0.5079,79859,46641878
0.5078,80233,46722111
0.5077,80018,46802129
0.5076,79070,46881199
0.5075,79527,46960726
0.5074,80114,47040840
0.5073,79298,47120138
0.5072,79941,47200079
0.5071,79376,47279455
0.507,79246,47358701
0.5069,79956,47438657
0.5068,80359,47519016
0.5067,79559,47598575
0.5066,79975,47678550
0.5065,80344,47758894
0.5064,79793,47838687
0.5063,80623,47919310
0.5062,81199,48000509
0.5061,80880,48081389
0.506,80796,48162185
0.5059,80682,48242867
0.5058,82134,48325001
0.5057,81601,48406602
0.5056,81614,48488216
0.5055,81874,48570090
0.5054,81454,48651544
0.5053,80723,48732267
0.5052,82189,48814456
0.5051,82375,48896831
0.505,81888,48978719
0.5049,81866,49060585
0.5048,81653,49142238
0.5047,83245,49225483
0.5046,81652,49307135
0.5045,83042,49390177
0.5044,83001,49473178
0.5043,83795,49556973
0.5042,82485,49639458
0.5041,82345,49721803
0.504,83088,49804891
0.5039,83027,49887918
0.5038,83480,49971398
0.5037,84400,50055798
0.5036,84328,50140126
0.5035,83552,50223678
0.5034,83727,50307405
0.5033,83949,50391354
0.5032,84554,50475908
0.5031,83059,50558967
0.503,84827,50643794
0.5029,85013,50728807
0.5028,84434,50813241
0.5027,85023,50898264
0.5026,85051,50983315
0.5025,84826,51068141
0.5024,85197,51153338
0.5023,84776,51238114
0.5022,84974,51323088
0.5021,84971,51408059
0.502,85435,51493494
0.5019,85458,51578952
0.5018,85689,51664641
0.5017,85292,51749933
0.5016,86176,51836109
0.5015,85393,51921502
0.5014,86760,52008262
0.5013,86036,52094298
0.5012,86537,52180835
0.5011,86451,52267286
0.501,87025,52354311
0.5009,87423,52441734
0.5008,86288,52528022
0.5007,87164,52615186
0.5006,86483,52701669
0.5005,87077,52788746
