"threshold","percentile_sum","cumulative_sum"
0.0083,1,691457184
0.0084,1,691457183
0.0087,5,691457182
0.0088,1,691457177
0.0091,3,691457176
0.0092,1,691457173
0.0093,1,691457172
0.0094,2,691457171
0.0095,1,691457169
0.0096,8,691457168
0.0097,4,691457160
0.0098,5,691457156
0.0099,8,691457151
0.01,8,691457143
0.0102,3,691457135
0.0103,10,691457132
0.0104,4,691457122
0.0105,10,691457118
0.0106,13,691457108
0.0107,10,691457095
0.0108,9,691457085
0.0109,8,691457076
0.011,9,691457068
0.0111,15,691457059
0.0112,10,691457044
0.0113,14,691457034
0.0114,26,691457020
0.0115,9,691456994
0.0116,25,691456985
0.0117,28,691456960
0.0118,20,691456932
0.0119,15,691456912
0.012,27,691456897
0.0121,22,691456870
0.0122,15,691456848
0.0123,26,691456833
0.0124,19,691456807
0.0125,35,691456788
0.0126,38,691456753
0.0127,29,691456715
0.0128,27,691456686
0.0129,29,691456659
0.013,49,691456630
0.0131,23,691456581
0.0132,46,691456558
0.0133,33,691456512
0.0134,54,691456479
0.0135,31,691456425
0.0136,41,691456394
0.0137,75,691456353
0.0138,61,691456278
0.0139,58,691456217
0.014,58,691456159
0.0141,64,691456101
0.0142,70,691456037
0.0143,63,691455967
0.0144,53,691455904
0.0145,74,691455851
0.0146,77,691455777
0.0147,71,691455700
0.0148,91,691455629
0.0149,81,691455538
0.015,73,691455457
0.0151,82,691455384
0.0152,102,691455302
0.0153,73,691455200
0.0154,115,691455127
0.0155,102,691455012
0.0156,142,691454910
0.0157,119,691454768
0.0158,101,691454649
0.0159,118,691454548
0.016,123,691454430
0.0161,103,691454307
0.0162,100,691454204
0.0163,142,691454104
0.0164,158,691453962
0.0165,147,691453804
0.0166,166,691453657
0.0167,147,691453491
0.0168,152,691453344
0.0169,121,691453192
0.017,128,691453071
0.0171,173,691452943
0.0172,160,691452770
0.0173,175,691452610
0.0174,149,691452435
0.0175,191,691452286
0.0176,242,691452095
0.0177,196,691451853
0.0178,193,691451657
0.0179,194,691451464
0.018,254,691451270
0.0181,229,691451016
0.0182,189,691450787
0.0183,252,691450598
0.0184,233,691450346
0.0185,255,691450113
0.0186,254,691449858
0.0187,235,691449604
0.0188,241,691449369
0.0189,290,691449128
0.019,266,691448838
0.0191,268,691448572
0.0192,296,691448304
0.0193,285,691448008
0.0194,274,691447723
0.0195,318,691447449
0.0196,314,691447131
0.0197,322,691446817
0.0198,281,691446495
0.0199,328,691446214
0.02,340,691445886
0.0201,353,691445546
0.0202,387,691445193
0.0203,321,691444806
0.0204,334,691444485
0.0205,378,691444151
0.0206,372,691443773
0.0207,351,691443401
0.0208,360,691443050
0.0209,390,691442690
0.021,435,691442300
0.0211,337,691441865
0.0212,498,691441528
0.0213,440,691441030
0.0214,455,691440590
0.0215,422,691440135
0.0216,452,691439713
0.0217,493,691439261
0.0218,444,691438768
0.0219,431,691438324
0.022,443,691437893
0.0221,485,691437450
0.0222,525,691436965
0.0223,483,691436440
0.0224,505,691435957
0.0225,564,691435452
0.0226,538,691434888
0.0227,528,691434350
0.0228,543,691433822
0.0229,555,691433279
0.023,560,691432724
0.0231,652,691432164
0.0232,549,691431512
0.0233,629,691430963
0.0234,681,691430334
0.0235,651,691429653
0.0236,600,691429002
0.0237,637,691428402
0.0238,701,691427765
0.0239,612,691427064
0.024,651,691426452
0.0241,713,691425801
0.0242,653,691425088
0.0243,702,691424435
0.0244,738,691423733
0.0245,741,691422995
0.0246,722,691422254
0.0247,834,691421532
0.0248,659,691420698
0.0249,755,691420039
0.025,742,691419284
0.0251,751,691418542
0.0252,824,691417791
0.0253,890,691416967
0.0254,848,691416077
0.0255,835,691415229
0.0256,852,691414394
0.0257,895,691413542
0.0258,857,691412647
0.0259,910,691411790
0.026,841,691410880
0.0261,924,691410039
0.0262,976,691409115
0.0263,942,691408139
0.0264,840,691407197
0.0265,946,691406357
0.0266,994,691405411
0.0267,1022,691404417
0.0268,914,691403395
0.0269,990,691402481
0.027,943,691401491
0.0271,937,691400548
0.0272,966,691399611
0.0273,1011,691398645
0.0274,1050,691397634
0.0275,1053,691396584
0.0276,989,691395531
0.0277,1088,691394542
0.0278,1043,691393454
0.0279,1039,691392411
0.028,1169,691391372
0.0281,1117,691390203
0.0282,1099,691389086
0.0283,1193,691387987
0.0284,1144,691386794
0.0285,1049,691385650
0.0286,1156,691384601
0.0287,1249,691383445
0.0288,1188,691382196
0.0289,1271,691381008
0.029,1281,691379737
0.0291,1306,691378456
0.0292,1298,691377150
0.0293,1319,691375852
0.0294,1364,691374533
0.0295,1361,691373169
0.0296,1265,691371808
0.0297,1234,691370543
0.0298,1381,691369309
0.0299,1326,691367928
0.03,1420,691366602
0.0301,1446,691365182
0.0302,1441,691363736
0.0303,1459,691362295
0.0304,1397,691360836
0.0305,1491,691359439
0.0306,1369,691357948
0.0307,1369,691356579
0.0308,1464,691355210
0.0309,1557,691353746
0.031,1498,691352189
0.0311,1479,691350691
0.0312,1611,691349212
0.0313,1605,691347601
0.0314,1714,691345996
0.0315,1592,691344282
0.0316,1540,691342690
0.0317,1673,691341150
0.0318,1680,691339477
0.0319,1678,691337797
0.032,1693,691336119
0.0321,1604,691334426
0.0322,1844,691332822
0.0323,1673,691330978
0.0324,1619,691329305
0.0325,1634,691327686
0.0326,1765,691326052
0.0327,1756,691324287
0.0328,1826,691322531
0.0329,1768,691320705
0.033,1771,691318937
0.0331,1858,691317166
0.0332,1944,691315308
0.0333,1920,691313364
0.0334,1778,691311444
0.0335,1925,691309666
0.0336,1930,691307741
0.0337,1845,691305811
0.0338,1965,691303966
0.0339,1942,691302001
0.034,2008,691300059
0.0341,2022,691298051
0.0342,2138,691296029
0.0343,2101,691293891
0.0344,2090,691291790
0.0345,2060,691289700
0.0346,2089,691287640
0.0347,2114,691285551
0.0348,2043,691283437
0.0349,2212,691281394
0.035,2303,691279182
0.0351,2110,691276879
0.0352,2179,691274769
0.0353,2228,691272590
0.0354,2343,691270362
0.0355,2380,691268019
0.0356,2411,691265639
0.0357,2326,691263228
0.0358,2238,691260902
0.0359,2273,691258664
0.036,2410,691256391
0.0361,2412,691253981
0.0362,2332,691251569
0.0363,2354,691249237
0.0364,2475,691246883
0.0365,2268,691244408
0.0366,2476,691242140
0.0367,2632,691239664
0.0368,2558,691237032
0.0369,2613,691234474
0.037,2728,691231861
0.0371,2560,691229133
0.0372,2539,691226573
0.0373,2506,691224034
0.0374,2665,691221528
0.0375,2771,691218863
0.0376,2727,691216092
0.0377,2807,691213365
0.0378,2532,691210558
0.0379,2694,691208026
0.038,2779,691205332
0.0381,2740,691202553
0.0382,2874,691199813
0.0383,2815,691196939
0.0384,2741,691194124
0.0385,2828,691191383
0.0386,2680,691188555
0.0387,3009,691185875
0.0388,2958,691182866
0.0389,2980,691179908
0.039,2978,691176928
0.0391,3143,691173950
0.0392,3125,691170807
0.0393,2928,691167682
0.0394,3132,691164754
0.0395,3026,691161622
0.0396,3058,691158596
0.0397,3135,691155538
0.0398,3029,691152403
0.0399,3227,691149374
0.04,3301,691146147
0.0401,3123,691142846
0.0402,3222,691139723
0.0403,3492,691136501
0.0404,3524,691133009
0.0405,3299,691129485
0.0406,3299,691126186
0.0407,3317,691122887
0.0408,3420,691119570
0.0409,3456,691116150
0.041,3353,691112694
0.0411,3361,691109341
0.0412,3525,691105980
0.0413,3583,691102455
0.0414,3629,691098872
0.0415,3468,691095243
0.0416,3510,691091775
0.0417,3772,691088265
0.0418,3463,691084493
0.0419,3792,691081030
0.042,3720,691077238
0.0421,3754,691073518
0.0422,3721,691069764
0.0423,3771,691066043
0.0424,3875,691062272
0.0425,3682,691058397
0.0426,3850,691054715
0.0427,3849,691050865
0.0428,3953,691047016
0.0429,3900,691043063
0.043,3961,691039163
0.0431,4012,691035202
0.0432,3889,691031190
0.0433,4060,691027301
0.0434,3951,691023241
0.0435,4086,691019290
0.0436,4275,691015204
0.0437,4187,691010929
0.0438,4125,691006742
0.0439,4265,691002617
0.044,4225,690998352
0.0441,4284,690994127
0.0442,4259,690989843
0.0443,4418,690985584
0.0444,4220,690981166
0.0445,4181,690976946
0.0446,4456,690972765
0.0447,4483,690968309
0.0448,4487,690963826
0.0449,4237,690959339
0.045,4623,690955102
0.0451,4478,690950479
0.0452,4652,690946001
0.0453,4475,690941349
0.0454,4489,690936874
0.0455,4737,690932385
0.0456,4719,690927648
0.0457,4531,690922929
0.0458,4684,690918398
0.0459,4765,690913714
0.046,4723,690908949
0.0461,4748,690904226
0.0462,4834,690899478
0.0463,4886,690894644
0.0464,4658,690889758
0.0465,4823,690885100
0.0466,4901,690880277
0.0467,5013,690875376
0.0468,5005,690870363
0.0469,4872,690865358
0.047,4956,690860486
0.0471,4870,690855530
0.0472,5209,690850660
0.0473,5281,690845451
0.0474,5176,690840170
0.0475,5079,690834994
0.0476,5104,690829915
0.0477,5353,690824811
0.0478,5482,690819458
0.0479,5130,690813976
0.048,5497,690808846
0.0481,5287,690803349
0.0482,5586,690798062
0.0483,5264,690792476
0.0484,5415,690787212
0.0485,5673,690781797
0.0486,5557,690776124
0.0487,5463,690770567
0.0488,5793,690765104
0.0489,5729,690759311
0.049,5945,690753582
0.0491,5801,690747637
0.0492,5767,690741836
0.0493,5822,690736069
0.0494,5891,690730247
0.0495,6019,690724356
0.0496,6320,690718337
0.0497,6078,690712017
0.0498,5936,690705939
0.0499,6039,690700003
0.05,6118,690693964
0.0501,6212,690687846
0.0502,6177,690681634
0.0503,6060,690675457
0.0504,6223,690669397
0.0505,6298,690663174
0.0506,6288,690656876
0.0507,6527,690650588
0.0508,6300,690644061
0.0509,6534,690637761
0.051,6602,690631227
0.0511,6488,690624625
0.0512,6582,690618137
0.0513,6526,690611555
0.0514,6658,690605029
0.0515,6844,690598371
0.0516,6696,690591527
0.0517,6729,690584831
0.0518,6734,690578102
0.0519,6860,690571368
0.052,6730,690564508
0.0521,6824,690557778
0.0522,7131,690550954
0.0523,7029,690543823
0.0524,7216,690536794
0.0525,7008,690529578
0.0526,7087,690522570
0.0527,7050,690515483
0.0528,7385,690508433
0.0529,7292,690501048
0.053,7384,690493756
0.0531,7537,690486372
0.0532,7362,690478835
0.0533,7692,690471473
0.0534,7366,690463781
0.0535,7686,690456415
0.0536,7710,690448729
0.0537,7702,690441019
0.0538,7738,690433317
0.0539,7866,690425579
0.054,7679,690417713
0.0541,7852,690410034
0.0542,7941,690402182
0.0543,8044,690394241
0.0544,7834,690386197
0.0545,7918,690378363
0.0546,8019,690370445
0.0547,8117,690362426
0.0548,8104,690354309
0.0549,8277,690346205
0.055,8308,690337928
0.0551,8107,690329620
0.0552,8461,690321513
0.0553,8370,690313052
0.0554,8310,690304682
0.0555,8243,690296372
0.0556,8462,690288129
0.0557,8623,690279667
0.0558,8559,690271044
0.0559,8786,690262485
0.056,8740,690253699
0.0561,8902,690244959
0.0562,8907,690236057
0.0563,8806,690227150
0.0564,9052,690218344
0.0565,9142,690209292
0.0566,9032,690200150
0.0567,9192,690191118
0.0568,9089,690181926
0.0569,9185,690172837
0.057,9377,690163652
0.0571,9361,690154275
0.0572,9373,690144914
0.0573,9767,690135541
0.0574,9741,690125774
0.0575,9800,690116033
0.0576,9826,690106233
0.0577,9766,690096407
0.0578,9567,690086641
0.0579,9947,690077074
0.058,9778,690067127
0.0581,9835,690057349
0.0582,10327,690047514
0.0583,10150,690037187
0.0584,10003,690027037
0.0585,10447,690017034
0.0586,10218,690006587
0.0587,10029,689996369
0.0588,10252,689986340
0.0589,10386,689976088
0.059,10566,689965702
0.0591,10465,689955136
0.0592,10695,689944671
0.0593,10745,689933976
0.0594,10559,689923231
0.0595,10762,689912672
0.0596,10770,689901910
0.0597,10946,689891140
0.0598,11156,689880194
0.0599,11078,689869038
0.06,11158,689857960
0.0601,11049,689846802
0.0602,11352,689835753
0.0603,11435,689824401
0.0604,11626,689812966
0.0605,11509,689801340
0.0606,11430,689789831
0.0607,11580,689778401
0.0608,11920,689766821
0.0609,11903,689754901
0.061,11971,689742998
0.0611,11923,689731027
0.0612,12154,689719104
0.0613,12034,689706950
0.0614,12256,689694916
0.0615,11899,689682660
0.0616,12598,689670761
0.0617,12455,689658163
0.0618,12502,689645708
0.0619,12669,689633206
0.062,12679,689620537
0.0621,12574,689607858
0.0622,12683,689595284
0.0623,12709,689582601
0.0624,12844,689569892
0.0625,12910,689557048
0.0626,13029,689544138
0.0627,13278,689531109
0.0628,13089,689517831
