"threshold","percentile_sum","cumulative_sum"
0.6826,34015947,34015947
0.6825,38343,34054290
0.6824,38101,34092391
0.6823,38539,34130930
0.6822,38187,34169117
0.6821,38407,34207524
0.682,37420,34244944
0.6819,38273,34283217
0.6818,38658,34321875
0.6817,38521,34360396
0.6816,38712,34399108
0.6815,38351,34437459
0.6814,38413,34475872
0.6813,38513,34514385
0.6812,38581,34552966
0.6811,38884,34591850
0.681,38492,34630342
0.6809,38689,34669031
0.6808,38664,34707695
0.6807,38323,34746018
0.6806,38364,34784382
0.6805,38926,34823308
0.6804,38948,34862256
0.6803,38300,34900556
0.6802,38844,34939400
0.6801,38313,34977713
0.68,38429,35016142
0.6799,38752,35054894
0.6798,38842,35093736
0.6797,39279,35133015
0.6796,39038,35172053
0.6795,38279,35210332
0.6794,38541,35248873
0.6793,38867,35287740
0.6792,39251,35326991
0.6791,38593,35365584
0.679,38865,35404449
0.6789,39475,35443924
0.6788,38876,35482800
0.6787,38472,35521272
0.6786,38664,35559936
0.6785,39672,35599608
0.6784,38887,35638495
0.6783,38718,35677213
0.6782,39192,35716405
0.6781,38711,35755116
0.678,39238,35794354
0.6779,38640,35832994
0.6778,39144,35872138
0.6777,38779,35910917
0.6776,38766,35949683
0.6775,39007,35988690
0.6774,38648,36027338
0.6773,38626,36065964
0.6772,38899,36104863
0.6771,39876,36144739
0.677,39385,36184124
0.6769,39756,36223880
0.6768,39761,36263641
0.6767,38886,36302527
0.6766,39496,36342023
0.6765,39181,36381204
0.6764,39708,36420912
0.6763,39322,36460234
0.6762,40038,36500272
0.6761,39901,36540173
0.676,40158,36580331
0.6759,39378,36619709
0.6758,39631,36659340
0.6757,39938,36699278
0.6756,39497,36738775
0.6755,39541,36778316
0.6754,39964,36818280
0.6753,39722,36858002
0.6752,39369,36897371
0.6751,39346,36936717
0.675,39449,36976166
0.6749,39458,37015624
0.6748,39503,37055127
0.6747,40347,37095474
0.6746,40383,37135857
0.6745,39288,37175145
0.6744,39915,37215060
0.6743,40086,37255146
0.6742,39716,37294862
0.6741,39073,37333935
0.674,40101,37374036
0.6739,39765,37413801
0.6738,40133,37453934
0.6737,40048,37493982
0.6736,39591,37533573
0.6735,39881,37573454
0.6734,40281,37613735
0.6733,39526,37653261
0.6732,39964,37693225
0.6731,40061,37733286
0.673,39996,37773282
0.6729,39914,37813196
0.6728,40100,37853296
0.6727,39922,37893218
0.6726,40253,37933471
0.6725,39745,37973216
0.6724,40166,38013382
0.6723,39581,38052963
0.6722,39951,38092914
0.6721,39979,38132893
0.672,39311,38172204
0.6719,39832,38212036
0.6718,40217,38252253
0.6717,40477,38292730
0.6716,39387,38332117
0.6715,40554,38372671
0.6714,39841,38412512
0.6713,39931,38452443
0.6712,39819,38492262
0.6711,39780,38532042
0.671,40277,38572319
0.6709,40389,38612708
0.6708,39843,38652551
0.6707,40327,38692878
0.6706,40011,38732889
0.6705,41284,38774173
0.6704,40029,38814202
0.6703,40365,38854567
0.6702,40235,38894802
0.6701,39936,38934738
0.67,40406,38975144
0.6699,39252,39014396
0.6698,40397,39054793
0.6697,40276,39095069
0.6696,40596,39135665
0.6695,40382,39176047
0.6694,40572,39216619
0.6693,40197,39256816
0.6692,40950,39297766
0.6691,40351,39338117
0.669,40133,39378250
0.6689,40759,39419009
0.6688,40623,39459632
0.6687,40488,39500120
0.6686,40061,39540181
0.6685,40833,39581014
0.6684,40175,39621189
0.6683,40821,39662010
0.6682,40356,39702366
0.6681,40678,39743044
0.668,40770,39783814
0.6679,40290,39824104
0.6678,41068,39865172
0.6677,40505,39905677
0.6676,41080,39946757
0.6675,40243,39987000
0.6674,40722,40027722
0.6673,40946,40068668
0.6672,41102,40109770
0.6671,41418,40151188
0.667,40422,40191610
0.6669,40552,40232162
0.6668,40785,40272947
0.6667,40680,40313627
0.6666,40589,40354216
0.6665,41210,40395426
0.6664,40702,40436128
0.6663,40606,40476734
0.6662,41005,40517739
0.6661,41675,40559414
0.666,40847,40600261
0.6659,41133,40641394
0.6658,40844,40682238
0.6657,40962,40723200
0.6656,40948,40764148
0.6655,40150,40804298
0.6654,41314,40845612
0.6653,41529,40887141
0.6652,41023,40928164
0.6651,41166,40969330
0.665,41493,41010823
0.6649,41379,41052202
0.6648,41164,41093366
0.6647,40778,41134144
0.6646,41112,41175256
0.6645,40893,41216149
0.6644,41135,41257284
0.6643,40959,41298243
0.6642,41478,41339721
0.6641,41334,41381055
0.664,40795,41421850
0.6639,40751,41462601
0.6638,40757,41503358
0.6637,40798,41544156
0.6636,40979,41585135
