"threshold","percentile_sum","cumulative_sum"
0.0,140966,691457184
0.0001,3115104,691316218
0.0002,10646254,688201114
0.0003,17130086,677554860
0.0004,19697713,660424774
0.0005,20185231,640727061
0.0006,20238645,620541830
0.0007,20200899,600303185
0.0008,20101525,580102286
0.0009,19837039,560000761
0.001,19360249,540163722
0.0011,18705737,520803473
0.0012,17991236,502097736
0.0013,17222550,484106500
0.0014,16534844,466883950
0.0015,15730898,450349106
0.0016,14898186,434618208
0.0017,14110877,419720022
0.0018,13279583,405609145
0.0019,12518039,392329562
0.002,11810964,379811523
0.0021,11166378,368000559
0.0022,10637982,356834181
0.0023,10410454,346196199
0.0024,9498458,335785745
0.0025,8872808,326287287
0.0026,8288776,317414479
0.0027,7792511,309125703
0.0028,8431297,301333192
0.0029,6940263,292901895
0.003,6563137,285961632
0.0031,6179480,279398495
0.0032,5871061,273219015
0.0033,5574030,267347954
0.0034,5294684,261773924
0.0035,5050124,256479240
0.0036,4822557,251429116
0.0037,4609916,246606559
0.0038,4415787,241996643
0.0039,4225976,237580856
0.004,4052229,233354880
0.0041,3903108,229302651
0.0042,3750365,225399543
0.0043,3615874,221649178
0.0044,3486420,218033304
0.0045,3373247,214546884
0.0046,3265267,211173637
0.0047,3152605,207908370
0.0048,3059252,204755765
0.0049,2963875,201696513
0.005,2880498,198732638
0.0051,2797673,195852140
0.0052,2717428,193054467
0.0053,2647697,190337039
0.0054,2578733,187689342
0.0055,2510207,185110609
0.0056,2449711,182600402
0.0057,2385551,180150691
0.0058,2329355,177765140
0.0059,2280695,175435785
0.006,2231955,173155090
0.0061,2174717,170923135
0.0062,2126794,168748418
0.0063,2080463,166621624
0.0064,2041819,164541161
0.0065,2000052,162499342
0.0066,2018066,160499290
0.0067,1926076,158481224
0.0068,1889084,156555148
0.0069,1858092,154666064
0.007,1818475,152807972
0.0071,1789763,150989497
0.0072,1758080,149199734
0.0073,1725798,147441654
0.0074,1700107,145715856
0.0075,1664549,144015749
0.0076,1642252,142351200
0.0077,1617693,140708948
0.0078,1586719,139091255
0.0079,1568380,137504536
0.008,1541234,135936156
0.0081,1517088,134394922
0.0082,1497538,132877834
0.0083,1476323,131380296
0.0084,1452463,129903973
0.0085,1432147,128451510
0.0086,1410533,127019363
0.0087,1393433,125608830
0.0088,1372354,124215397
0.0089,1353930,122843043
0.009,1334151,121489113
0.0091,1317746,120154962
0.0092,1298770,118837216
0.0093,1286542,117538446
0.0094,1264826,116251904
0.0095,1243925,114987078
0.0096,1241119,113743153
0.0097,1213393,112502034
0.0098,1206613,111288641
0.0099,1185795,110082028
0.01,1175758,108896233
0.0101,1159885,107720475
0.0102,1148379,106560590
0.0103,1128846,105412211
0.0104,1115001,104283365
0.0105,1098062,103168364
0.0106,1080277,102070302
0.0107,1070026,100990025
0.0108,1052307,99919999
0.0109,1043811,98867692
0.011,1030086,97823881
