"threshold","percentile_sum","cumulative_sum"
0.0071,2,691457184
0.0074,1,691457182
0.0075,1,691457181
0.0076,3,691457180
0.008,1,691457177
0.0083,1,691457176
0.0085,2,691457175
0.0089,1,691457173
0.0092,3,691457172
0.0094,2,691457169
0.0095,1,691457167
0.0096,2,691457166
0.0098,3,691457164
0.0101,3,691457161
0.0103,1,691457158
0.0104,2,691457157
0.0105,6,691457155
0.0106,5,691457149
0.0107,4,691457144
0.0109,3,691457140
0.011,7,691457137
0.0111,4,691457130
0.0112,2,691457126
0.0113,3,691457124
0.0114,4,691457121
0.0115,5,691457117
0.0116,3,691457112
0.0117,5,691457109
0.0118,7,691457104
0.0119,4,691457097
0.012,6,691457093
0.0121,7,691457087
0.0122,14,691457080
0.0123,11,691457066
0.0124,20,691457055
0.0125,4,691457035
0.0126,12,691457031
0.0127,6,691457019
0.0128,17,691457013
0.0129,3,691456996
0.013,4,691456993
0.0131,8,691456989
0.0132,20,691456981
0.0133,14,691456961
0.0134,20,691456947
0.0135,14,691456927
0.0136,13,691456913
0.0137,14,691456900
0.0138,17,691456886
0.0139,10,691456869
0.014,15,691456859
0.0141,18,691456844
0.0142,19,691456826
0.0143,17,691456807
0.0144,27,691456790
0.0145,23,691456763
0.0146,21,691456740
0.0147,29,691456719
0.0148,38,691456690
0.0149,41,691456652
0.015,21,691456611
0.0151,25,691456590
0.0152,27,691456565
0.0153,25,691456538
0.0154,16,691456513
0.0155,48,691456497
0.0156,55,691456449
0.0157,33,691456394
0.0158,29,691456361
0.0159,35,691456332
0.016,50,691456297
0.0161,33,691456247
0.0162,77,691456214
0.0163,51,691456137
0.0164,47,691456086
0.0165,38,691456039
0.0166,54,691456001
0.0167,59,691455947
0.0168,63,691455888
0.0169,79,691455825
0.017,59,691455746
0.0171,64,691455687
0.0172,82,691455623
0.0173,82,691455541
0.0174,70,691455459
0.0175,76,691455389
0.0176,83,691455313
0.0177,68,691455230
0.0178,61,691455162
0.0179,80,691455101
0.018,94,691455021
0.0181,91,691454927
0.0182,93,691454836
0.0183,111,691454743
0.0184,109,691454632
0.0185,103,691454523
0.0186,112,691454420
0.0187,116,691454308
0.0188,137,691454192
0.0189,119,691454055
0.019,127,691453936
0.0191,153,691453809
0.0192,120,691453656
0.0193,146,691453536
0.0194,133,691453390
0.0195,123,691453257
0.0196,203,691453134
0.0197,145,691452931
0.0198,189,691452786
0.0199,190,691452597
0.02,168,691452407
0.0201,157,691452239
0.0202,186,691452082
0.0203,202,691451896
0.0204,196,691451694
0.0205,205,691451498
0.0206,200,691451293
0.0207,209,691451093
0.0208,213,691450884
0.0209,218,691450671
0.021,226,691450453
0.0211,222,691450227
0.0212,274,691450005
0.0213,222,691449731
0.0214,250,691449509
0.0215,244,691449259
0.0216,332,691449015
0.0217,260,691448683
0.0218,288,691448423
0.0219,292,691448135
0.022,282,691447843
0.0221,328,691447561
0.0222,312,691447233
0.0223,313,691446921
0.0224,388,691446608
0.0225,377,691446220
0.0226,399,691445843
0.0227,352,691445444
0.0228,376,691445092
0.0229,398,691444716
0.023,428,691444318
0.0231,431,691443890
0.0232,424,691443459
0.0233,418,691443035
0.0234,397,691442617
0.0235,421,691442220
0.0236,496,691441799
0.0237,423,691441303
0.0238,464,691440880
0.0239,441,691440416
0.024,555,691439975
0.0241,509,691439420
0.0242,503,691438911
0.0243,571,691438408
0.0244,534,691437837
0.0245,482,691437303
0.0246,575,691436821
0.0247,574,691436246
0.0248,581,691435672
0.0249,613,691435091
0.025,628,691434478
0.0251,608,691433850
0.0252,616,691433242
0.0253,663,691432626
0.0254,703,691431963
0.0255,682,691431260
0.0256,709,691430578
0.0257,625,691429869
0.0258,713,691429244
0.0259,713,691428531
0.026,760,691427818
0.0261,792,691427058
0.0262,822,691426266
0.0263,848,691425444
0.0264,848,691424596
0.0265,806,691423748
0.0266,784,691422942
0.0267,828,691422158
0.0268,811,691421330
0.0269,864,691420519
0.027,944,691419655
0.0271,972,691418711
0.0272,1010,691417739
0.0273,961,691416729
0.0274,946,691415768
0.0275,988,691414822
0.0276,920,691413834
0.0277,991,691412914
0.0278,991,691411923
0.0279,1051,691410932
0.028,1148,691409881
0.0281,1128,691408733
0.0282,1240,691407605
0.0283,1173,691406365
0.0284,1154,691405192
0.0285,1336,691404038
0.0286,1201,691402702
0.0287,1222,691401501
0.0288,1262,691400279
0.0289,1333,691399017
0.029,1318,691397684
0.0291,1297,691396366
0.0292,1370,691395069
0.0293,1330,691393699
0.0294,1402,691392369
0.0295,1370,691390967
0.0296,1452,691389597
0.0297,1458,691388145
0.0298,1374,691386687
0.0299,1528,691385313
0.03,1494,691383785
0.0301,1460,691382291
0.0302,1598,691380831
0.0303,1650,691379233
0.0304,1639,691377583
0.0305,1707,691375944
0.0306,1707,691374237
0.0307,1718,691372530
0.0308,1698,691370812
0.0309,1767,691369114
0.031,1821,691367347
0.0311,1918,691365526
0.0312,1854,691363608
0.0313,1940,691361754
0.0314,1936,691359814
0.0315,1985,691357878
0.0316,2005,691355893
0.0317,2028,691353888
0.0318,2001,691351860
0.0319,2137,691349859
0.032,1983,691347722
0.0321,2107,691345739
0.0322,2005,691343632
0.0323,2218,691341627
0.0324,2276,691339409
0.0325,2252,691337133
0.0326,2228,691334881
0.0327,2287,691332653
0.0328,2354,691330366
0.0329,2391,691328012
0.033,2312,691325621
0.0331,2429,691323309
0.0332,2344,691320880
0.0333,2417,691318536
0.0334,2547,691316119
0.0335,2509,691313572
