"threshold","percentile_sum","cumulative_sum"
0.0,37,691457184
0.0001,2068,691457147
0.0002,13854,691455079
0.0003,48124,691441225
0.0004,122425,691393101
0.0005,257975,691270676
0.0006,473016,691012701
0.0007,773370,690539685
0.0008,1139319,689766315
0.0009,1549086,688626996
0.001,1972744,687077910
0.0011,2379906,685105166
0.0012,2748600,682725260
0.0013,3067342,679976660
0.0014,3318426,676909318
0.0015,3517084,673590892
0.0016,3676924,670073808
0.0017,3813203,666396884
0.0018,3933368,662583681
0.0019,4032194,658650313
0.002,4131452,654618119
0.0021,4212352,650486667
0.0022,4303447,646274315
0.0023,4387773,641970868
0.0024,4467854,637583095
0.0025,4543621,633115241
0.0026,4608066,628571620
0.0027,4727376,623963554
0.0028,4744713,619236178
0.0029,4787766,614491465
0.003,4822632,609703699
0.0031,4857710,604881067
0.0032,4884312,600023357
0.0033,4910779,595139045
0.0034,4935516,590228266
0.0035,4947550,585292750
0.0036,4954089,580345200
0.0037,4962485,575391111
0.0038,4971084,570428626
0.0039,4967136,565457542
0.004,4968035,560490406
0.0041,4948820,555522371
0.0042,4941131,550573551
0.0043,4935065,545632420
0.0044,4908981,540697355
0.0045,4874046,535788374
0.0046,4864159,530914328
0.0047,4834132,526050169
0.0048,4808017,521216037
0.0049,4771322,516408020
0.005,4744958,511636698
0.0051,4710827,506891740
0.0052,4672173,502180913
0.0053,4660630,497508740
0.0054,4623470,492848110
0.0055,4578221,488224640
0.0056,4553138,483646419
0.0057,4525154,479093281
0.0058,4498536,474568127
0.0059,4458381,470069591
0.006,4427044,465611210
0.0061,4400274,461184166
0.0062,4362952,456783892
0.0063,4337484,452420940
0.0064,4322654,448083456
0.0065,4272545,443760802
0.0066,4234826,439488257
0.0067,4220130,435253431
0.0068,4187706,431033301
0.0069,4149619,426845595
0.007,4149732,422695976
0.0071,4102079,418546244
0.0072,4055749,414444165
0.0073,4032277,410388416
0.0074,4014389,406356139
0.0075,4248240,402341750
0.0076,4177002,398093510
0.0077,4017840,393916508
0.0078,3942179,389898668
0.0079,3896953,385956489
0.008,3881376,382059536
0.0081,3811765,378178160
0.0082,3760156,374366395
0.0083,3696998,370606239
0.0084,3653646,366909241
0.0085,3630455,363255595
0.0086,3589647,359625140
0.0087,3557189,356035493
0.0088,3513641,352478304
0.0089,3475588,348964663
0.009,3460930,345489075
0.0091,3409146,342028145
0.0092,3368580,338618999
0.0093,3346426,335250419
0.0094,3306921,331903993
0.0095,3268377,328597072
0.0096,3236193,325328695
0.0097,3224249,322092502
0.0098,3165931,318868253
0.0099,3137239,315702322
0.01,3118489,312565083
0.0101,4151394,309446594
0.0102,3051212,305295200
0.0103,3016911,302243988
0.0104,2989464,299227077
0.0105,2959674,296237613
0.0106,2932957,293277939
0.0107,2899123,290344982
0.0108,2878042,287445859
0.0109,2839961,284567817
0.011,2811601,281727856
0.0111,2791453,278916255
0.0112,2761649,276124802
0.0113,2731853,273363153
0.0114,2708437,270631300
0.0115,2673626,267922863
0.0116,2652212,265249237
0.0117,2620827,262597025
